longitude,latitude
55.327184,25.263057
55.3073448,25.2745143
5.029095,52.135825
55.3886833,25.3429779
55.329954,25.255729
4.923214,52.358862
55.558813,25.229062
55.2673064,25.179696
55.3151037,25.2686831
55.3301603,25.2753796
55.4337972,25.2220308
55.3534671,25.2800391
55.3268155,25.2662332
55.5010198,25.3580542
-84.90156189999999,45.4037064
55.3806671,25.2806753
55.3142489,25.2771953
-3.644834,55.9035487
8.6333261,50.0791609
55.2983613,25.2702641
8.6771538,50.1118048
55.3934511,25.3383993
-4.0262256,55.8172999
-93.9363889,29.9361111
-2.805993,55.617268
55.4455884,25.4027936
55.3461586,25.239448
55.4070814,25.2696628
5.0650629,52.097767
101.607037,56.1732044
55.2786154,25.2137222
55.2955902,25.2712922
-3.202088,55.9524816
-3.2017347,55.9510499
55.2983372,25.2706299
55.2550386,25.1461092
55.3261761,25.2738465
55.382229,25.2660778
55.5221353,25.2538212
55.2799034,25.1854961
55.4058639,25.3107828
-2.7199233,56.0583294
55.3595734,25.2778443
8.6686351,50.1086639
55.3795962,25.3040606
55.561022,25.231153
55.2869469,25.2303855
55.3099705,25.2645495
55.2621665,25.181282
53.7159358,23.6237305
145.408885,-38.060641
55.3601965,25.2856461
-84.9734883,45.3698707
55.2311392,25.0524493
55.5143175,25.4023416
-81.6432579,30.4022236
55.4790242,25.3455822
55.32811,25.2532448
55.4513149,25.2811594
5.2355325,52.1400111
55.3241396,25.2589485
53.721923,23.6568957
5.380111599999999,52.1432959
55.2419866,25.1010918
53.7222309,23.663324
55.1973337,25.1235088
53.7016191,23.6538904
55.2106775,25.1213781
55.4064576,25.1565267
55.2972119,25.2522899
-118.133092,33.8968541
54.5053561,24.371804
55.2001653,25.1180437
53.713352,23.6600181
55.2694365,25.2046248
55.377914,25.2888371
55.2712284,25.2392928
5.2218988,52.1018118
-73.002421,40.811664
-3.926186,55.771942
8.6818062,50.110581
55.3798681,25.3258808
55.3030289,25.2449863
55.3149206,25.2646265
55.3337049,25.2769983
55.3125358,25.2734836
55.278155,25.1817419
8.6945874,50.1207149
55.4173552,25.3236422
53.7226772,23.6561685
4.9083894,52.3758334
14.4944295,35.9003576
8.661273999999999,50.107987
55.4817114,25.3478709
4.9004388,52.358967
55.3670848,25.2660291
55.227488,25.0760224
55.3288133,25.2530803
55.4438292,25.4103272
55.3971169,25.2911577
55.587566,25.2937597
-80.839829,35.169449
55.3338481,25.3032063
-122.3421937,47.6098446
55.2987264,25.2718
55.3024291,25.27069
55.3641298,25.1945448
55.1459257,25.0875463
55.4289188,25.2936291
55.227488,25.0760224
55.3751405,25.3000432
4.921218,52.354733
55.4270232,25.3167874
55.3770973,25.2227472
55.3062507,25.2453916
55.5201666,25.3216963
55.2568424,25.2095993
55.2932568,25.2645259
-87.0434154,30.6262033
55.277205,25.2090478
5.297127499999999,52.185396
55.4614606,25.308336
55.3122667,25.2751443
55.4030691,25.1603018
55.2922308,25.2618566
-4.2682987,55.8658922
8.6703332,50.1081319
55.3517806,25.2805137
-2.0754329,52.5199169
8.6723362,50.1389786
-90.4890665,38.7841213
55.3676153,25.3402574
55.3301099,25.2589942
55.3818409,25.3184278
54.4252777,24.1555233
55.5110759,25.1519718
55.317583,25.2673211
55.2427252,25.0575297
